red_freq, green_freq, blue_freq, value
76,81,72,2000
76,81,72,2000
70,77,81,2000
70,77,81,2000
80,102,107,2000
80,102,107,2000
106,104,105,2000
106,104,105,2000
102,124,125,2000
102,124,125,2000
137,156,146,2000
137,156,146,2000
140,149,146,2000
140,149,146,2000
138,150,146,2000
138,150,146,2000
136,148,145,2000
136,148,145,2000
136,148,145,2000
136,148,145,2000
136,147,144,2000
136,147,144,2000
136,148,145,2000
136,148,145,2000
137,147,143,2000
137,147,143,2000
135,147,143,2000
135,147,143,2000
137,147,144,2000
137,147,144,2000
137,147,144,2000
137,147,144,2000
135,147,143,2000
135,147,143,2000
135,146,145,2000
135,146,145,2000
136,146,143,2000
136,146,143,2000
134,146,143,2000
134,146,143,2000
134,145,143,2000
134,145,143,2000
146,147,129,2000
146,147,129,2000
125,132,127,2000
125,132,127,2000
120,127,121,2000
120,127,121,2000
114,122,118,2000
114,122,118,2000
116,124,119,2000
116,124,119,2000
113,104,100,2000
113,104,100,2000
110,126,122,2000
110,126,122,2000
115,123,121,2000
115,123,121,2000
119,125,123,2000
119,125,123,2000
114,100,92,2000
114,100,92,2000
112,137,148,2000
112,137,148,2000
143,159,148,2000
143,159,148,2000
124,135,114,2000
124,135,114,2000
80,95,112,2000
80,95,112,2000
130,128,126,2000
130,128,126,2000
118,126,117,2000
118,126,117,2000
117,131,114,2000
117,131,114,2000
104,78,65,2000
104,78,65,2000
72,79,100,2000
72,79,100,2000
107,109,95,2000
107,109,95,2000
84,79,71,2000
84,79,71,2000
72,79,80,2000
72,79,80,2000
81,98,102,2000
81,98,102,2000
102,114,113,2000
102,114,113,2000
109,117,115,2000
109,117,115,2000
112,132,131,2000
112,132,131,2000
134,145,134,2000
134,145,134,2000
112,116,118,2000
112,116,118,2000
123,140,130,2000
123,140,130,2000
127,135,125,2000
127,135,125,2000
128,138,128,2000
128,138,128,2000
127,132,93,2000
127,132,93,2000
93,138,140,2000
93,138,140,2000
128,138,134,2000
128,138,134,2000
129,144,146,2000
129,144,146,2000
138,126,115,2000
138,126,115,2000
115,122,122,2000
115,122,122,2000
114,121,123,2000
114,121,123,2000
121,130,127,2000
121,130,127,2000
123,134,130,2000
123,134,130,2000
132,147,147,2000
132,147,147,2000
131,139,137,2000
131,139,137,2000
131,137,132,2000
131,137,132,2000
139,162,158,2000
139,162,158,2000
142,151,150,2000
142,151,150,2000
146,156,158,2000
146,156,158,2000
152,157,151,2000
152,157,151,2000
142,151,148,2000
142,151,148,2000
139,147,142,2000
139,147,142,2000
140,153,152,2000
140,153,152,2000
145,152,144,2000
145,152,144,2000
132,144,146,2000
132,144,146,2000
142,159,161,2000
142,159,161,2000
153,169,166,2000
153,169,166,2000
142,150,145,2000
142,150,145,2000
133,146,142,2000
133,146,142,2000
137,159,140,2000
137,159,140,2000
130,149,149,2000
130,149,149,2000
136,145,144,2000
136,145,144,2000
137,150,147,2000
137,150,147,2000
145,159,156,2000
145,159,156,2000
143,160,160,2000
143,160,160,2000
151,161,156,2000
151,161,156,2000
148,164,159,2000
148,164,159,2000
93,117,111,2000
93,117,111,2000
101,98,93,2000
101,98,93,2000
102,127,132,2000
102,127,132,2000
91,111,93,2000
91,111,93,2000
108,154,128,2000
108,154,128,2000
88,95,70,2000
88,95,70,2000
83,106,109,2000
83,106,109,2000
100,78,55,2000
100,78,55,2000
52,63,110,2000
52,63,110,2000
103,115,99,2000
103,115,99,2000
52,73,91,2000
52,73,91,2000
91,123,133,2000
91,123,133,2000
84,121,103,2000
84,121,103,2000
111,124,129,2000
111,124,129,2000
126,136,136,2000
126,136,136,2000
127,131,131,2000
127,131,131,2000
123,133,133,2000
123,133,133,2000
119,131,129,2000
