red_freq,green_freq,blue_freq,value
69,87,84,5000
69,87,84,5000
70,90,86,5000
70,90,86,5000
70,91,86,5000
70,91,86,5000
71,91,86,5000
71,91,86,5000
69,88,84,5000
69,88,84,5000
70,90,86,5000
70,90,86,5000
70,89,85,5000
70,89,85,5000
70,90,86,5000
70,90,86,5000
70,88,86,5000
70,88,86,5000
70,90,86,5000
70,90,86,5000
69,87,85,5000
69,87,85,5000
69,85,85,5000
69,85,85,5000
61,75,77,5000
61,75,77,5000
68,83,84,5000
68,83,84,5000
69,86,85,5000
69,86,85,5000
70,87,84,5000
70,87,84,5000
70,88,85,5000
70,88,85,5000
70,88,86,5000
70,88,86,5000
70,86,86,5000
70,86,86,5000
70,89,86,5000
70,89,86,5000
70,88,85,5000
70,88,85,5000
69,88,84,5000
69,88,84,5000
70,89,86,5000
70,89,86,5000
69,87,84,5000
69,87,84,5000
70,88,84,5000
70,88,84,5000
70,90,86,5000
70,90,86,5000
70,90,84,5000
70,90,84,5000
71,89,86,5000
71,89,86,5000
70,88,86,5000
70,88,86,5000
70,88,85,5000
70,88,85,5000
70,89,86,5000
70,89,86,5000
68,87,83,5000
68,87,83,5000
69,87,84,5000
69,87,84,5000
71,90,86,5000
71,90,86,5000
70,89,86,5000
70,89,86,5000
71,88,85,5000
71,88,85,5000
69,85,83,5000
69,85,83,5000
70,87,85,5000
70,87,85,5000
70,87,85,5000
70,87,85,5000
72,93,89,5000
72,93,89,5000
71,89,87,5000
71,89,87,5000
70,89,85,5000
70,89,85,5000
67,85,83,5000
67,85,83,5000
66,86,84,5000
66,86,84,5000
68,89,86,5000
68,89,86,5000
72,92,85,5000
72,92,85,5000
70,86,85,5000
70,86,85,5000
67,86,83,5000
67,86,83,5000
69,86,85,5000
69,86,85,5000
67,87,89,5000
67,87,89,5000
68,87,87,5000
68,87,87,5000
68,88,89,5000
68,88,89,5000
68,87,88,5000
68,87,88,5000
64,82,83,5000
64,82,83,5000
65,83,84,5000
65,83,84,5000
65,83,83,5000
65,83,83,5000
65,81,84,5000
65,81,84,5000
64,82,83,5000
64,82,83,5000
65,83,85,5000
65,83,85,5000
65,83,84,5000
65,83,84,5000
65,81,84,5000
65,81,84,5000
65,81,85,5000
65,81,85,5000
65,82,84,5000
65,82,84,5000
65,83,85,5000
65,83,85,5000
66,83,83,5000
66,83,83,5000
65,82,84,5000
65,82,84,5000
66,84,83,5000
66,84,83,5000
65,83,85,5000
65,83,85,5000
65,82,83,5000
65,82,83,5000
66,83,85,5000
66,83,85,5000
66,84,85,5000
66,84,85,5000
65,82,84,5000
65,82,84,5000
65,84,85,5000
65,84,85,5000
66,83,85,5000
66,83,85,5000
66,84,85,5000
66,84,85,5000
65,83,85,5000
65,83,85,5000
65,84,84,5000
65,84,84,5000
69,89,90,5000
69,89,90,5000
68,85,88,5000
68,85,88,5000
68,88,89,5000
68,88,89,5000
68,85,87,5000
68,85,87,5000
67,85,87,5000
